user_id,destination,length,veh_id,price,weather_id,color
USR0021945,"106.721532, 10.851705",441 km,CAR_0513,56.0,1243,Brown
USR0104393,"106.678684, 10.866207",378 km,CAR_0074,210.0,1204,Orange
USR0029897,"105.768406, 21.003172",308 km,CAR_1455,49.0,1252,Blue
USR0070628,"106.644096, 10.763189",90 km,CAR_0662,69.0,1186,Black
USR0096305,"106.718150, 10.854148",456 km,CAR_0208,49.0,1180,Silver
USR0023243,"105.886728, 21.153465",119 km,CAR_0423,40.0,1264,White
USR0028369,"106.743457, 10.874422",226 km,CAR_0960,81.0,1150,Brown
USR0127974,"105.743548, 21.067692",232 km,CAR_1142,81.0,1195,Black
USR0124531,"106.712960, 10.872654",17 km,CAR_0641,90.0,1135,Brown
USR0199707,"105.804056, 21.019113",201 km,CAR_1692,40.0,1135,Brown
USR0076538,"105.796878, 21.067884",407 km,CAR_1216,44.0,1237,Grey
USR0119254,"106.692076, 10.873749",33 km,CAR_0991,50.0,1030,White
USR0174894,"105.764445, 21.097184",267 km,CAR_0058,147.0,1204,Grey
USR0044799,"105.747408, 21.046755",35 km,CAR_1121,63.0,1252,Black
USR0071907,"105.860948, 21.077449",172 km,CAR_1435,54.0,1003,Black
USR0195271,"105.753996, 20.961137",322 km,CAR_0842,98.0,1243,White
USR0037715,"106.750428, 10.897508",445 km,CAR_1649,52.0,1003,Black
USR0062225,"105.778205, 21.010568",487 km,CAR_1033,88.0,1135,White
USR0018033,"105.773057, 21.008328",395 km,CAR_1720,52.0,1195,Blue
USR0135971,"106.668187, 10.891085",266 km,CAR_1577,43.0,1000,Grey
USR0089018,"105.772713, 21.141549",297 km,CAR_0369,44.0,1168,Red
USR0090425,"105.741772, 20.984402",417 km,CAR_1269,81.0,1273,Black
USR0187761,"105.716867, 21.170180",74 km,CAR_1484,50.0,1087,Green
USR0077410,"106.725530, 10.826866",135 km,CAR_0996,100.0,1000,Brown
USR0053286,"105.864114, 20.996578",208 km,CAR_0885,107.0,1249,Brown
USR0131961,"105.854186, 20.944408",363 km,CAR_1102,85.0,1069,Red
USR0049767,"106.721204, 10.833680",252 km,CAR_0372,51.0,1243,Orange
USR0168770,"106.737040, 10.816442",259 km,CAR_0577,77.0,1192,Green
