vehicle_id,shop_id,daily_rental_usd,available_units,condition
CAR_0104,SHOP_012,261.0,2,Good
CAR_0105,SHOP_005,290.0,2,Good
CAR_0106,SHOP_012,262.0,3,Good
CAR_0107,SHOP_012,403.0,3,Good
CAR_0108,SHOP_005,293.0,1,Good
CAR_0108,SHOP_012,294.0,1,Good
CAR_0109,SHOP_012,292.0,4,Excellent
CAR_0109,SHOP_005,292.0,3,Fair
CAR_0110,SHOP_012,311.0,2,Excellent
CAR_0110,SHOP_005,310.0,4,Excellent
CAR_0111,SHOP_012,279.0,1,Excellent
CAR_0112,SHOP_005,356.0,3,Excellent
CAR_0113,SHOP_005,268.0,4,Good
CAR_0114,SHOP_005,263.0,4,Good
CAR_0114,SHOP_012,268.0,4,Good
CAR_0115,SHOP_012,265.0,1,Good
CAR_0115,SHOP_005,265.0,3,Excellent
CAR_0116,SHOP_012,261.0,1,Good
CAR_0117,SHOP_005,303.0,4,Good
CAR_0118,SHOP_005,253.0,3,Fair
CAR_0119,SHOP_005,258.0,3,Good
CAR_0120,SHOP_005,252.0,2,Good
CAR_0120,SHOP_012,260.0,2,Excellent
CAR_0121,SHOP_005,113.0,3,Good
CAR_0122,SHOP_010,100.0,3,Fair
CAR_0122,SHOP_011,108.0,4,Fair
CAR_0123,SHOP_007,80.0,4,Good
CAR_0124,SHOP_006,77.0,1,Good
CAR_0124,SHOP_002,84.0,1,Good
CAR_0124,SHOP_004,80.0,2,Fair
CAR_0125,SHOP_001,81.0,3,Good
CAR_0125,SHOP_004,84.0,4,Fair
CAR_0125,SHOP_010,84.0,4,Good
CAR_0126,SHOP_004,111.0,1,Good
CAR_0126,SHOP_002,111.0,4,Good
CAR_0127,SHOP_002,113.0,1,Fair
CAR_0127,SHOP_005,105.0,3,Good
CAR_0127,SHOP_004,105.0,4,Excellent
CAR_0128,SHOP_008,113.0,4,Fair
CAR_0128,SHOP_004,105.0,3,Fair
CAR_0128,SHOP_012,110.0,1,Good
CAR_0129,SHOP_002,109.0,3,Fair
CAR_0129,SHOP_004,113.0,4,Excellent
CAR_0130,SHOP_001,98.0,2,Good
CAR_0131,SHOP_010,71.0,4,Excellent
CAR_0131,SHOP_005,67.0,1,Fair
CAR_0132,SHOP_012,100.0,2,Fair
CAR_0133,SHOP_002,97.0,3,Fair
CAR_0133,SHOP_008,102.0,4,Good
CAR_0133,SHOP_012,99.0,2,Fair
CAR_0134,SHOP_005,103.0,2,Excellent
CAR_0135,SHOP_002,97.0,4,Good
CAR_0135,SHOP_010,99.0,3,Excellent
CAR_0136,SHOP_010,97.0,4,Good
CAR_0136,SHOP_002,94.0,4,Good
CAR_0137,SHOP_007,95.0,4,Fair
CAR_0137,SHOP_002,99.0,2,Good
CAR_0138,SHOP_007,78.0,4,Excellent
CAR_0138,SHOP_001,78.0,4,Fair
CAR_0138,SHOP_002,78.0,2,Fair
CAR_0139,SHOP_010,76.0,3,Excellent
CAR_0140,SHOP_010,75.0,4,Excellent
CAR_0140,SHOP_011,82.0,4,Good
CAR_0141,SHOP_002,78.0,3,Good
CAR_0142,SHOP_008,75.0,1,Good
CAR_0142,SHOP_010,77.0,4,Good
CAR_0142,SHOP_002,75.0,4,Excellent
CAR_0143,SHOP_001,75.0,3,Good
CAR_0143,SHOP_006,82.0,4,Excellent
CAR_0143,SHOP_002,82.0,1,Fair
CAR_0144,SHOP_010,83.0,1,Excellent
CAR_0145,SHOP_008,75.0,3,Good
CAR_0145,SHOP_002,71.0,2,Good
CAR_0146,SHOP_011,68.0,2,Good
CAR_0146,SHOP_008,66.0,4,Good
CAR_0146,SHOP_002,69.0,2,Good
CAR_0147,SHOP_002,70.0,4,Good
CAR_0147,SHOP_010,71.0,4,Good
CAR_0148,SHOP_008,69.0,1,Fair
CAR_0148,SHOP_002,73.0,3,Fair
CAR_0148,SHOP_006,71.0,4,Good
CAR_0149,SHOP_004,76.0,4,Excellent
CAR_0150,SHOP_010,89.0,3,Good
CAR_0151,SHOP_002,100.0,4,Good
CAR_0151,SHOP_010,97.0,1,Fair
CAR_0151,SHOP_011,105.0,3,Good
CAR_0152,SHOP_012,163.0,2,Good
CAR_0152,SHOP_005,161.0,2,Excellent
CAR_0153,SHOP_011,143.0,3,Fair
CAR_0153,SHOP_002,137.0,3,Good
CAR_0153,SHOP_008,138.0,3,Good
CAR_0154,SHOP_008,132.0,2,Good
CAR_0154,SHOP_011,136.0,3,Good
CAR_0154,SHOP_010,136.0,3,Fair
CAR_0155,SHOP_010,78.0,3,Excellent
CAR_0155,SHOP_008,76.0,1,Good
CAR_0156,SHOP_011,87.0,4,Good
CAR_0157,SHOP_012,117.0,1,Good
CAR_0158,SHOP_002,110.0,3,Good
CAR_0158,SHOP_004,115.0,3,Excellent
CAR_0158,SHOP_012,116.0,4,Excellent
CAR_0159,SHOP_010,118.0,3,Good
CAR_0159,SHOP_008,115.0,4,Good
CAR_0159,SHOP_011,115.0,1,Good
CAR_0160,SHOP_004,108.0,3,Fair
CAR_0161,SHOP_011,142.0,2,Fair
CAR_0162,SHOP_004,107.0,4,Good
CAR_0162,SHOP_005,112.0,1,Fair
CAR_0163,SHOP_005,107.0,3,Excellent
CAR_0163,SHOP_002,110.0,2,Fair
CAR_0163,SHOP_004,107.0,2,Good
CAR_0164,SHOP_002,113.0,3,Good
CAR_0165,SHOP_012,317.0,2,Excellent
CAR_0166,SHOP_012,301.0,2,Excellent
CAR_0166,SHOP_005,300.0,3,Good
CAR_0167,SHOP_005,383.0,2,Excellent
CAR_0168,SHOP_012,377.0,2,Good
CAR_0168,SHOP_005,378.0,2,Excellent
CAR_0169,SHOP_012,384.0,2,Good
CAR_0169,SHOP_005,380.0,2,Excellent
CAR_0170,SHOP_005,272.0,2,Excellent
CAR_0170,SHOP_012,267.0,2,Good
CAR_0171,SHOP_005,276.0,1,Good
CAR_0172,SHOP_012,395.0,1,Excellent
CAR_0172,SHOP_005,396.0,3,Excellent
CAR_0173,SHOP_005,284.0,1,Good
CAR_0173,SHOP_012,284.0,1,Excellent
CAR_0174,SHOP_012,299.0,4,Excellent
CAR_0174,SHOP_005,295.0,4,Excellent
CAR_0175,SHOP_005,333.0,2,Excellent
CAR_0176,SHOP_012,332.0,3,Fair
CAR_0177,SHOP_005,335.0,4,Fair
CAR_0177,SHOP_012,330.0,1,Good
CAR_0178,SHOP_012,320.0,2,Fair
CAR_0178,SHOP_005,319.0,4,Fair
CAR_0179,SHOP_012,414.0,3,Fair
CAR_0179,SHOP_005,410.0,3,Good
CAR_0180,SHOP_012,302.0,4,Excellent
CAR_0181,SHOP_005,315.0,1,Fair
CAR_0182,SHOP_012,354.0,3,Good
CAR_0183,SHOP_012,332.0,3,Excellent
CAR_0183,SHOP_005,336.0,4,Excellent
CAR_0184,SHOP_005,156.0,3,Excellent
CAR_0184,SHOP_012,156.0,2,Good
CAR_0185,SHOP_005,155.0,1,Good
CAR_0185,SHOP_012,159.0,3,Excellent
CAR_0186,SHOP_012,156.0,4,Excellent
CAR_0186,SHOP_005,156.0,3,Excellent
CAR_0187,SHOP_011,112.0,3,Good
CAR_0188,SHOP_008,96.0,2,Fair
CAR_0188,SHOP_005,97.0,1,Excellent
CAR_0189,SHOP_010,109.0,4,Fair
CAR_0189,SHOP_002,109.0,2,Good
CAR_0189,SHOP_012,107.0,3,Excellent
CAR_0190,SHOP_008,93.0,1,Excellent
CAR_0191,SHOP_010,85.0,4,Fair
CAR_0191,SHOP_005,87.0,4,Good
CAR_0192,SHOP_004,99.0,1,Good
CAR_0193,SHOP_001,89.0,4,Good
CAR_0193,SHOP_004,88.0,4,Excellent
CAR_0194,SHOP_007,86.0,2,Good
CAR_0195,SHOP_008,76.0,1,Excellent
CAR_0195,SHOP_010,78.0,4,Good
CAR_0196,SHOP_008,89.0,2,Good
CAR_0197,SHOP_002,63.0,1,Fair
CAR_0198,SHOP_008,102.0,1,Good
CAR_0199,SHOP_006,86.0,4,Fair
CAR_0199,SHOP_001,85.0,4,Excellent
CAR_0199,SHOP_011,92.0,2,Fair
CAR_0200,SHOP_011,91.0,1,Fair
CAR_0200,SHOP_004,90.0,2,Fair
CAR_0200,SHOP_006,88.0,1,Fair
CAR_0201,SHOP_006,89.0,2,Good
CAR_0201,SHOP_007,90.0,1,Excellent
CAR_0202,SHOP_011,68.0,3,Good
CAR_0202,SHOP_008,70.0,2,Good
CAR_0202,SHOP_001,64.0,3,Good
CAR_0203,SHOP_004,69.0,1,Good
CAR_0204,SHOP_007,67.0,4,Good
CAR_0204,SHOP_008,71.0,3,Good
CAR_0204,SHOP_002,67.0,4,Fair
CAR_0205,SHOP_002,57.0,3,Excellent
CAR_0205,SHOP_004,57.0,1,Good
CAR_0205,SHOP_001,58.0,1,Excellent
CAR_0206,SHOP_011,56.0,1,Excellent
CAR_0206,SHOP_006,54.0,4,Fair
CAR_0207,SHOP_010,53.0,1,Fair
CAR_0207,SHOP_004,57.0,2,Good
CAR_0207,SHOP_007,54.0,2,Excellent
CAR_0208,SHOP_002,49.0,3,Excellent
CAR_0208,SHOP_011,53.0,2,Excellent
CAR_0209,SHOP_011,77.0,4,Good
CAR_0210,SHOP_010,77.0,3,Fair
CAR_0210,SHOP_012,77.0,3,Excellent
CAR_0211,SHOP_007,75.0,1,Good
CAR_0211,SHOP_002,69.0,4,Good
CAR_0211,SHOP_008,71.0,2,Good
CAR_0212,SHOP_012,133.0,2,Good
CAR_0213,SHOP_004,72.0,4,Good
CAR_0213,SHOP_011,68.0,1,Good
CAR_0214,SHOP_011,84.0,3,Good
CAR_0214,SHOP_001,87.0,1,Fair
CAR_0214,SHOP_006,86.0,1,Good
CAR_0215,SHOP_007,69.0,2,Good
CAR_0215,SHOP_010,76.0,4,Good
CAR_0216,SHOP_004,77.0,2,Excellent
CAR_0217,SHOP_007,75.0,1,Excellent
CAR_0217,SHOP_010,74.0,2,Fair
CAR_0218,SHOP_008,78.0,2,Fair
CAR_0219,SHOP_008,85.0,2,Fair
CAR_0220,SHOP_011,76.0,4,Good
CAR_0220,SHOP_002,78.0,3,Fair
CAR_0220,SHOP_004,82.0,2,Good
CAR_0221,SHOP_002,82.0,4,Fair
CAR_0221,SHOP_010,81.0,4,Fair
CAR_0221,SHOP_008,83.0,2,Good
CAR_0222,SHOP_002,74.0,4,Good
CAR_0222,SHOP_012,79.0,1,Excellent
CAR_0223,SHOP_002,44.0,2,Good
CAR_0223,SHOP_010,47.0,2,Fair
CAR_0224,SHOP_002,67.0,2,Fair
CAR_0225,SHOP_010,49.0,4,Excellent
CAR_0225,SHOP_004,44.0,3,Good
CAR_0226,SHOP_004,50.0,3,Good
CAR_0226,SHOP_001,40.0,1,Good
CAR_0227,SHOP_001,53.0,3,Fair
CAR_0228,SHOP_007,59.0,4,Fair
CAR_0228,SHOP_011,57.0,1,Excellent
CAR_0228,SHOP_006,54.0,2,Fair
CAR_0229,SHOP_006,54.0,2,Good
CAR_0230,SHOP_008,46.0,4,Fair
CAR_0231,SHOP_007,47.0,4,Excellent
CAR_0232,SHOP_007,56.0,2,Good
CAR_0232,SHOP_004,53.0,1,Good
CAR_0232,SHOP_001,53.0,4,Good
CAR_0233,SHOP_002,57.0,3,Excellent
CAR_0233,SHOP_010,60.0,1,Fair
CAR_0233,SHOP_011,59.0,1,Fair
CAR_0234,SHOP_004,53.0,1,Good
CAR_0234,SHOP_008,58.0,3,Good
CAR_0235,SHOP_010,65.0,1,Good
CAR_0235,SHOP_011,59.0,3,Good
CAR_0235,SHOP_001,66.0,2,Fair
CAR_0236,SHOP_011,54.0,2,Good
CAR_0236,SHOP_007,50.0,4,Excellent
CAR_0236,SHOP_006,52.0,1,Good
CAR_0237,SHOP_001,50.0,3,Fair
CAR_0238,SHOP_011,66.0,1,Good
CAR_0238,SHOP_006,64.0,1,Good
CAR_0238,SHOP_008,64.0,3,Fair
CAR_0239,SHOP_007,53.0,4,Good
CAR_0239,SHOP_006,56.0,4,Fair
CAR_0240,SHOP_002,49.0,3,Excellent
CAR_0240,SHOP_007,47.0,1,Fair
CAR_0241,SHOP_006,57.0,2,Good
CAR_0241,SHOP_011,51.0,1,Good
CAR_0241,SHOP_008,54.0,3,Fair
CAR_0242,SHOP_011,55.0,2,Fair
CAR_0242,SHOP_010,51.0,1,Good
CAR_0242,SHOP_004,54.0,4,Good
CAR_0243,SHOP_004,57.0,1,Excellent
CAR_0243,SHOP_001,54.0,4,Good
CAR_0243,SHOP_006,53.0,2,Excellent
CAR_0244,SHOP_006,59.0,4,Excellent
CAR_0245,SHOP_008,51.0,3,Good
CAR_0246,SHOP_001,60.0,1,Good
CAR_0246,SHOP_004,57.0,3,Good
CAR_0247,SHOP_007,61.0,2,Good
CAR_0247,SHOP_010,57.0,3,Good
CAR_0248,SHOP_011,53.0,2,Fair
CAR_0249,SHOP_006,45.0,1,Good
CAR_0249,SHOP_011,49.0,4,Good
CAR_0249,SHOP_002,51.0,3,Fair
CAR_0250,SHOP_001,55.0,1,Fair
CAR_0251,SHOP_001,62.0,4,Excellent
CAR_0252,SHOP_007,63.0,3,Good
CAR_0252,SHOP_002,61.0,3,Good
CAR_0252,SHOP_004,62.0,2,Good
CAR_0253,SHOP_011,51.0,2,Good
CAR_0253,SHOP_007,51.0,4,Excellent
CAR_0253,SHOP_006,53.0,3,Fair
CAR_0254,SHOP_004,50.0,1,Excellent
CAR_0254,SHOP_007,52.0,4,Fair
CAR_0254,SHOP_011,57.0,1,Good
CAR_0255,SHOP_006,61.0,4,Fair
CAR_0255,SHOP_001,62.0,3,Good
CAR_0256,SHOP_006,57.0,2,Good
CAR_0256,SHOP_001,55.0,1,Excellent
CAR_0256,SHOP_007,56.0,3,Good
CAR_0257,SHOP_002,51.0,2,Good
CAR_0258,SHOP_008,94.0,1,Good
CAR_0258,SHOP_001,87.0,3,Good
CAR_0258,SHOP_002,91.0,1,Good
CAR_0259,SHOP_006,94.0,2,Good
CAR_0259,SHOP_008,92.0,3,Excellent
CAR_0259,SHOP_011,93.0,1,Excellent
CAR_0260,SHOP_006,94.0,3,Good
CAR_0261,SHOP_010,82.0,1,Fair
CAR_0261,SHOP_004,86.0,3,Good
CAR_0261,SHOP_007,82.0,4,Good
CAR_0262,SHOP_011,86.0,1,Good
CAR_0262,SHOP_006,89.0,4,Fair
CAR_0263,SHOP_002,88.0,2,Good
CAR_0264,SHOP_010,88.0,3,Fair
CAR_0264,SHOP_011,86.0,3,Excellent
CAR_0264,SHOP_007,88.0,4,Excellent
CAR_0265,SHOP_006,53.0,2,Excellent
CAR_0265,SHOP_001,50.0,4,Fair
CAR_0266,SHOP_001,59.0,2,Good
CAR_0267,SHOP_001,56.0,2,Good
CAR_0267,SHOP_011,54.0,4,Fair
CAR_0267,SHOP_007,58.0,4,Excellent
CAR_0268,SHOP_001,49.0,4,Good
CAR_0269,SHOP_006,49.0,1,Excellent
CAR_0270,SHOP_011,54.0,4,Good
CAR_0270,SHOP_006,54.0,1,Fair
CAR_0271,SHOP_010,53.0,3,Fair
CAR_0272,SHOP_004,61.0,1,Good
CAR_0272,SHOP_011,65.0,3,Excellent
CAR_0273,SHOP_007,66.0,3,Excellent
CAR_0273,SHOP_008,62.0,1,Fair
CAR_0274,SHOP_011,69.0,3,Good
CAR_0274,SHOP_007,69.0,2,Fair
CAR_0275,SHOP_008,57.0,1,Good
CAR_0275,SHOP_011,64.0,4,Fair
CAR_0275,SHOP_006,58.0,2,Good
CAR_0276,SHOP_006,60.0,4,Good
CAR_0276,SHOP_008,62.0,4,Good
CAR_0276,SHOP_001,61.0,1,Good
CAR_0277,SHOP_004,63.0,4,Good
CAR_0277,SHOP_011,64.0,1,Fair
CAR_0278,SHOP_007,57.0,2,Excellent
CAR_0278,SHOP_001,53.0,2,Fair
CAR_0279,SHOP_002,60.0,2,Excellent
CAR_0280,SHOP_001,61.0,1,Good
CAR_0280,SHOP_011,52.0,3,Fair
CAR_0280,SHOP_004,54.0,2,Fair
CAR_0281,SHOP_004,60.0,4,Excellent
CAR_0281,SHOP_007,59.0,2,Good
CAR_0281,SHOP_006,62.0,4,Fair
CAR_0282,SHOP_007,63.0,4,Good
CAR_0282,SHOP_011,58.0,3,Fair
CAR_0283,SHOP_001,63.0,3,Good
CAR_0284,SHOP_011,62.0,3,Good
CAR_0285,SHOP_001,46.0,4,Good
CAR_0285,SHOP_011,49.0,3,Good
CAR_0285,SHOP_004,45.0,4,Fair
CAR_0286,SHOP_007,61.0,2,Good
CAR_0286,SHOP_006,51.0,1,Good
CAR_0287,SHOP_011,60.0,4,Good
CAR_0287,SHOP_006,56.0,3,Good
CAR_0288,SHOP_007,55.0,2,Good
CAR_0289,SHOP_011,60.0,2,Good
CAR_0290,SHOP_011,52.0,3,Fair
CAR_0291,SHOP_004,65.0,2,Excellent
CAR_0292,SHOP_010,68.0,2,Fair
CAR_0292,SHOP_008,65.0,4,Fair
CAR_0292,SHOP_007,65.0,3,Good
CAR_0293,SHOP_006,64.0,1,Good
CAR_0293,SHOP_010,63.0,1,Good
CAR_0294,SHOP_004,58.0,2,Excellent
CAR_0294,SHOP_001,59.0,4,Fair
CAR_0295,SHOP_007,58.0,3,Excellent
CAR_0296,SHOP_002,52.0,1,Good
CAR_0297,SHOP_002,57.0,4,Good
CAR_0297,SHOP_011,61.0,4,Good
CAR_0298,SHOP_006,60.0,3,Good
CAR_0299,SHOP_007,57.0,3,Good
CAR_0299,SHOP_006,52.0,3,Good
CAR_0299,SHOP_008,58.0,2,Good
CAR_0300,SHOP_002,64.0,4,Fair
CAR_0300,SHOP_004,60.0,1,Fair
CAR_0300,SHOP_006,62.0,2,Good
CAR_0301,SHOP_001,51.0,2,Excellent
CAR_0301,SHOP_011,51.0,2,Fair
CAR_0302,SHOP_001,50.0,3,Excellent
CAR_0302,SHOP_002,43.0,3,Good
CAR_0303,SHOP_004,47.0,4,Good
CAR_0304,SHOP_002,44.0,3,Excellent
CAR_0305,SHOP_008,64.0,3,Good
CAR_0305,SHOP_011,61.0,2,Good
CAR_0305,SHOP_007,60.0,4,Good
CAR_0306,SHOP_010,62.0,4,Good
CAR_0306,SHOP_011,63.0,1,Fair
CAR_0307,SHOP_002,62.0,1,Excellent
CAR_0307,SHOP_001,56.0,2,Good
CAR_0307,SHOP_004,57.0,4,Excellent
CAR_0308,SHOP_006,50.0,4,Excellent
CAR_0308,SHOP_007,57.0,4,Excellent
CAR_0308,SHOP_001,52.0,4,Fair
CAR_0309,SHOP_011,50.0,4,Good
CAR_0309,SHOP_006,56.0,4,Good
CAR_0309,SHOP_001,57.0,2,Excellent
CAR_0310,SHOP_006,44.0,1,Excellent
CAR_0311,SHOP_011,58.0,4,Excellent
CAR_0312,SHOP_011,53.0,2,Fair
CAR_0312,SHOP_006,53.0,4,Fair
CAR_0313,SHOP_001,56.0,2,Good
CAR_0313,SHOP_006,54.0,4,Good
CAR_0314,SHOP_010,61.0,1,Excellent
CAR_0314,SHOP_004,61.0,4,Fair
CAR_0314,SHOP_006,56.0,2,Good
CAR_0315,SHOP_001,51.0,3,Good
CAR_0315,SHOP_006,57.0,1,Excellent
CAR_0316,SHOP_004,59.0,1,Good
CAR_0316,SHOP_002,57.0,1,Excellent
CAR_0316,SHOP_001,59.0,1,Good
CAR_0317,SHOP_007,58.0,4,Good
CAR_0317,SHOP_008,62.0,1,Good
